<NOISE> 1.0	NSN
am-lâi-tshé-khì 1.0	a m_T1 l a i5 tsh e2 kh i3
am-phīnn 1.0	a m_T1 ph i nn_T7
am-poo-tsê 1.0	a m_T1 p o1 ts e5
am-pôo-tsê 1.0	a m_T1 p o5 ts e5
am-tham 1.0	a m_T1 th a m_T1
am-tit 1.0	a m_T1 t i t_T4
am-tsam 1.0	a m_T1 ts a m_T1
am-tshuì 1.0	a m_T1 tsh u i3
am-ânn 1.0	a m_T1 a nn_T5
am-ôo 1.0	a m_T1 o5
am-īnn 1.0	a m_T1 i nn_T7
an 1.0	a nn1
an-an 1.0	a nn1 a nn1
an-an-jiân-jiân 1.0	a nn1 a nn1 j_T i a nn5 j_T i a nn5
an-an-ún-ún 1.0	a nn1 a nn1 u nn2 u nn2
an-bîn 1.0	a nn1 b_T i nn5
an-bîn-io̍h 1.0	a nn1 b_T i nn5 i er h_T8
an-bú 1.0	a nn1 b_T u2
an-guî 1.0	a nn1 g_T u i5
an-hioh 1.0	a nn1 h i er h_T4
an-hioh-ji̍t 1.0	a nn1 h i er h_T4 j_T i t_T8
an-hioh-nî 1.0	a nn1 h i er h_T4 n i5
an-hui 1.0	a nn1 h u i1
an-hui-tha-bīng 1.0	a nn1 h u i1 th a1 b_T i ng7
an-hân-tsū-tsāi 1.0	a nn1 h a nn5 ts u7 ts a i7
an-hô 1.0	a nn1 h er5
an-hú 1.0	a nn1 h u2
an-hē 1.0	a nn1 h e7
an-hūn 1.0	a nn1 h u nn7
an-hūn-síu-kí 1.0	a nn1 h u nn7 s i u2 k i2
an-ia̍t 1.0	a nn1 i a t_T8
an-iáng 1.0	a nn1 i a ng2
an-iânn 1.0	a nn1 i a nn_T5
an-ióng 1.0	a nn1 i er ng2
an-ióng-īnn 1.0	a nn1 i er ng2 i nn_T7
an-i̍k 1.0	a nn1 i k_T8
an-jiân 1.0	a nn1 j_T i a nn5
an-jiân-tsū-tsāi 1.0	a nn1 j_T i a nn5 ts u7 ts a i7
an-ka 1.0	a nn1 k a1
an-ka-huì 1.0	a nn1 k a1 h u i3
an-ke 1.0	a nn1 k e1
an-khong 1.0	a nn1 kh er ng1
an-ki 1.0	a nn1 k i1
an-ki-lo̍k-gia̍p 1.0	a nn1 k i1 l er k_T8 g_T i a p_T8
an-kim 1.0	a nn1 k i m_T1
an-ku 1.0	a nn1 k u1
an-lo̍k 1.0	a nn1 l er k_T8
an-lo̍k-kong 1.0	a nn1 l er k_T8 k er ng1
an-lo̍k-sí 1.0	a nn1 l er k_T8 s i2
an-lo̍k-ê-sing-ua̍h 1.0	a nn1 l er k_T8 e5 s i ng1 u a h_T8
an-lo̍k-í 1.0	a nn1 l er k_T8 i2
an-lâm 1.0	a nn1 l a m_T5
an-lâm-khu 1.0	a nn1 l a m_T5 kh u1
an-lí-huē 1.0	a nn1 l i2 h u e7
an-lîng 1.0	a nn1 l i ng5
an-m̂ng 1.0	a nn1 ms_T ng5
an-niâ 1.0	a nn1 n i a5
an-nî 1.0	a nn1 n i5
an-pâi 1.0	a nn1 p a i5
an-pâi-pòo-tì 1.0	a nn1 p a i5 p o3 t i3
an-pîn-lo̍k-tō 1.0	a nn1 p i nn5 l er k_T8 t er7
an-pîng 1.0	a nn1 p i ng5
an-pîng-hî 1.0	a nn1 p i ng5 h i5
an-pîng-khu 1.0	a nn1 p i ng5 kh u1
an-pîng-káng 1.0	a nn1 p i ng5 k a ng2
an-pîng-kóo-pó 1.0	a nn1 p i ng5 k o2 p er2
an-siat 1.0	a nn1 s i a t_T4
an-sik 1.0	a nn1 s i k_T4
an-sim 1.0	a nn1 s i m_T1
an-sin 1.0	a nn1 s i nn1
an-siông 1.0	a nn1 s i er ng5
an-suī 1.0	a nn1 s u i7
an-sán 1.0	a nn1 s a nn2
an-sîn 1.0	a nn1 s i nn5
an-sîn-io̍h 1.0	a nn1 s i nn5 i er h_T8
an-tah 1.0	a nn1 t a h_T4
an-thai 1.0	a nn1 th a i1
an-thai-hû 1.0	a nn1 th a i1 h u5
an-the̍h 1.0	a nn1 th e h_T8
an-thài 1.0	a nn1 th a i3
an-thóo 1.0	a nn1 th o2
an-tik-lia̍t 1.0	a nn1 t i k_T4 l i a t_T8
an-tiānn 1.0	a nn1 t i a nn_T7
an-tshah 1.0	a nn1 tsh a h_T4
an-tshin-pan 1.0	a nn1 tsh i nn1 p a nn1
an-tshn̂g 1.0	a nn1 tsh ngs_T5
an-tsong 1.0	a nn1 ts er ng1
an-tsuánn 1.0	a nn1 ts u a nn_T2
an-tsuánn-kóng 1.0	a nn1 ts u a nn_T2 k er ng2
an-tsuánn-pān 1.0	a nn1 ts u a nn_T2 p a nn7
an-tsuân 1.0	a nn1 ts u a nn5
an-tsuân-bō 1.0	a nn1 ts u a nn5 b_T er7
an-tsuân-bō-á 1.0	a nn1 ts u a nn5 b_T er7 a2
an-tsuân-kám 1.0	a nn1 ts u a nn5 k a m_T2
an-tsuân-thui 1.0	a nn1 ts u a nn5 th u i1
an-tsuân-tsong-tì 1.0	a nn1 ts u a nn5 ts er ng1 t i3
an-tsuân-tuà 1.0	a nn1 ts u a nn5 t u a3
an-tsuân-tó 1.0	a nn1 ts u a nn5 t er2
an-tsuân-tē-it 1.0	a nn1 ts u a nn5 t e7 i t_T4
an-tsìnn 1.0	a nn1 ts i nn_T3
an-tsòng 1.0	a nn1 ts er ng3
an-tsīng 1.0	a nn1 ts i ng7
an-tsōng 1.0	a nn1 ts er ng7
an-tánn 1.0	a nn1 t a nn_T2
an-tì 1.0	a nn1 t i3
an-tùn 1.0	a nn1 t u nn3
an-tām-po̍h-á 1.0	a nn1 t a m_T7 p er h_T8 a2
an-tīng 1.0	a nn1 t i ng7
an-tīng-khu 1.0	a nn1 t i ng7 kh u1
an-tīng-lo̍h-lâi 1.0	a nn1 t i ng7 l er h_T8 l a i5
an-uì 1.0	a nn1 u i3
an-uì-tsiá 1.0	a nn1 u i3 ts i a2
an-uī 1.0	a nn1 u i7
an-ún 1.0	a nn1 u nn2
ang 1.0	a ng1
ang-bóo 1.0	a ng1 b_T o2
ang-bóo-á 1.0	a ng1 b_T o2 a2
ang-keh-toh 1.0	a ng1 k e h_T4 t er h_T4
ang-kè-toh 1.0	a ng1 k e3 t er h_T4
ang-pô 1.0	a ng1 p er5
ang-sing-bóo-tuànn 1.0	a ng1 s i ng1 b_T o2 t u a nn_T3
ang-sài 1.0	a ng1 s a i3
ang-tsiá-á 1.0	a ng1 ts i a2 a2
ang-á 1.0	a ng1 a2
ang-á-bóo 1.0	a ng1 a2 b_T o2
ang-á-bīn 1.0	a ng1 a2 b_T i nn7
ang-á-hì 1.0	a ng1 a2 h i3
ang-á-hì-kuán 1.0	a ng1 a2 h i3 k u a nn2
ang-á-jîn 1.0	a ng1 a2 j_T i nn5
ang-á-kiō 1.0	a ng1 a2 k i er7
ang-á-mi̍h 1.0	a ng1 a2 m i h_T8
ang-á-phiau 1.0	a ng1 a2 ph i a u1
ang-á-thâu 1.0	a ng1 a2 th a u5
ang-á-tsheh 1.0	a ng1 a2 tsh e h_T4
ang-á-tshut 1.0	a ng1 a2 tsh u t_T4
ang-á-tsiá 1.0	a ng1 a2 ts i a2
ang-á-tsiá-á 1.0	a ng1 a2 ts i a2 a2
ang-á-tôo 1.0	a ng1 a2 t o5
ang-î 1.0	a ng1 i5
ann 1.0	a nn_T1
ap 1.0	a p_T4
ap-ho̍k 1.0	a p_T4 h er k_T8
ap-kiann 1.0	a p_T4 k i a nn_T1
ap-lik 1.0	a p_T4 l i k_T4
ap-li̍k 1.0	a p_T4 l i k_T8
ap-li̍k-lah 1.0	a p_T4 l i k_T8 l a h_T4
ap-pik 1.0	a p_T4 p i k_T4
ap-siok 1.0	a p_T4 s i er k_T4
ap-sok 1.0	a p_T4 s er k_T4
ap-suah 1.0	a p_T4 s u a h_T4
ap-tsè 1.0	a p_T4 ts e3
ap-tsè-lâng 1.0	a p_T4 ts e3 l a ng5
ap-tó 1.0	a p_T4 t er2
ap-tó-sìng 1.0	a p_T4 t er2 s i ng3
at 1.0	a t_T4
at-bí-ko 1.0	a t_T4 b_T i2 k er1
at-hē 1.0	a t_T4 h e7
at-khiau 1.0	a t_T4 kh i a u1
at-kiàn 1.0	a t_T4 k i a nn3
at-ko-á 1.0	a t_T4 k er1 a2
at-kè 1.0	a t_T4 k e3
at-me̍h 1.0	a t_T4 m e h_T8
at-ti̍t 1.0	a t_T4 t i t_T8
at-tn̄g 1.0	a t_T4 t ngs_T7
at-tshíu 1.0	a t_T4 tsh i u2
at-tshíu-bé 1.0	a t_T4 tsh i u2 b_T e2
at-tshíu-pà 1.0	a t_T4 tsh i u2 p a3
at-tsi̍h 1.0	a t_T4 ts i h_T8
at-tsè 1.0	a t_T4 ts e3
at-tsí 1.0	a t_T4 ts i2
at-tsóo 1.0	a t_T4 ts o2
at-á 1.0	a t_T4 a2
at-ám 1.0	a t_T4 a m_T2
au 1.0	a u1
au-a 1.0	a u1 a1
au-bí 1.0	a u1 b_T i2
au-bîng 1.0	a u1 b_T i ng5
au-iông 1.0	a u1 i er ng5
au-lo̍h-khì 1.0	a u1 l er h_T8 kh i3
au-lô-pa 1.0	a u1 l er5 p a1
au-puî 1.0	a u1 p u i5
au-sik 1.0	a u1 s i k_T4
au-sik-a 1.0	a u1 s i k_T4 a1
au-tsau 1.0	a u1 ts a u1
au-tsiu 1.0	a u1 ts i u1
au-tsiu-lâng 1.0	a u1 ts i u1 l a ng5
au-tsiàn 1.0	a u1 ts i a nn3
au-á 1.0	a u1 a2
a̍h 1.0	a h_T8
a̍h-kē 1.0	a h_T8 k e7
a̍h-sái 1.0	a h_T8 s a i2
a̍h-sī 1.0	a h_T8 s i7
a̍h-tio̍h 1.0	a h_T8 t i er h_T8
a̍h-á 1.0	a h_T8 a2
a̍h-ū-tse 1.0	a h_T8 u7 ts e1
a̍h-ū-tsi̍t-ê 1.0	a h_T8 u7 ts i t_T8 e5
a̍ih 1.0	a i h_T8
a̍innh 1.0	a i nn_T h_T8
a̍k 1.0	a k_T8
a̍k-á 1.0	a k_T8 a2
a̍p 1.0	a p_T8
a̍p-a̍p 1.0	a p_T8 a p_T8
a̍p-á 1.0	a p_T8 a2
a̍t 1.0	a t_T8
ba 1.0	b_T a1
ba-bui 1.0	b_T a1 b_T u i1
ba-bún-tshiò 1.0	b_T a1 b_T u nn2 tsh i er3
bah 1.0	b_T a h_T4
bah-bah 1.0	b_T a h_T4 b_T a h_T4
bah-ba̍k 1.0	b_T a h_T4 b_T a k_T8
bah-bún-tshiò 1.0	b_T a h_T4 b_T u nn2 tsh i er3
bah-gû 1.0	b_T a h_T4 g_T u5
bah-huàn 1.0	b_T a h_T4 h u a nn3
bah-hî 1.0	b_T a h_T4 h i5
bah-hú 1.0	b_T a h_T4 h u2
bah-jiông 1.0	b_T a h_T4 j_T i er ng5
bah-jîn 1.0	b_T a h_T4 j_T i nn5
bah-kak 1.0	b_T a h_T4 k a k_T4
bah-kap 1.0	b_T a h_T4 k a p_T4
bah-kau 1.0	b_T a h_T4 k a u1
bah-ke 1.0	b_T a h_T4 k e1
bah-kenn 1.0	b_T a h_T4 k e nn_T1
bah-kinn 1.0	b_T a h_T4 k i nn_T1
bah-kuann 1.0	b_T a h_T4 k u a nn_T1
bah-kun 1.0	b_T a h_T4 k u nn1
bah-kut 1.0	b_T a h_T4 k u t_T4
bah-kut-soo 1.0	b_T a h_T4 k u t_T4 s o1
bah-kám 1.0	b_T a h_T4 k a m_T2
bah-luī 1.0	b_T a h_T4 l u i7
bah-lê 1.0	b_T a h_T4 l e5
bah-lîu 1.0	b_T a h_T4 l i u5
bah-lōo 1.0	b_T a h_T4 l o7
bah-mī 1.0	b_T a h_T4 m i7
bah-nn̂g 1.0	b_T a h_T4 n ngs_T5
bah-pau 1.0	b_T a h_T4 p a u1
bah-phiò 1.0	b_T a h_T4 ph i er3
bah-phuê 1.0	b_T a h_T4 ph u e5
bah-phê 1.0	b_T a h_T4 ph e5
bah-phìnn 1.0	b_T a h_T4 ph i nn_T3
bah-phín 1.0	b_T a h_T4 ph i nn2
bah-piánn 1.0	b_T a h_T4 p i a nn_T2
bah-piánn-bīn 1.0	b_T a h_T4 p i a nn_T2 b_T i nn7
bah-póo 1.0	b_T a h_T4 p o2
bah-si 1.0	b_T a h_T4 s i1
bah-si-mī 1.0	b_T a h_T4 s i1 m i7
bah-sik 1.0	b_T a h_T4 s i k_T4
bah-sin 1.0	b_T a h_T4 s i nn1
bah-soo 1.0	b_T a h_T4 s o1
bah-suh 1.0	b_T a h_T4 s u h_T4
bah-sut 1.0	b_T a h_T4 s u t_T4
bah-sînn 1.0	b_T a h_T4 s i nn_T5
bah-sò 1.0	b_T a h_T4 s er3
bah-sò-pn̄g 1.0	b_T a h_T4 s er3 p ngs_T7
bah-thng 1.0	b_T a h_T4 th ngs_T1
bah-thé 1.0	b_T a h_T4 th e2
bah-tiam 1.0	b_T a h_T4 t i a m_T1
bah-tiàm 1.0	b_T a h_T4 t i a m_T3
bah-tshuah 1.0	b_T a h_T4 tsh u a h_T4
bah-tshài 1.0	b_T a h_T4 tsh a i3
bah-tshì 1.0	b_T a h_T4 tsh i3
bah-tsiap 1.0	b_T a h_T4 ts i a p_T4
bah-tsit 1.0	b_T a h_T4 ts i t_T4
bah-tsàng 1.0	b_T a h_T4 ts a ng3
bah-tsàng-kak 1.0	b_T a h_T4 ts a ng3 k a k_T4
bah-tsàng-tseh 1.0	b_T a h_T4 ts a ng3 ts e h_T4
bah-tsàng-tsueh 1.0	b_T a h_T4 ts a ng3 ts u e h_T4
bah-tsìunn 1.0	b_T a h_T4 ts i u nn_T3
bah-tàng 1.0	b_T a h_T4 t a ng3
bah-tāu 1.0	b_T a h_T4 t a u7
bah-uân 1.0	b_T a h_T4 u a nn5
